n_frame,ratio
3,  0.298603
4,  0.402697
5,  0.69979
6,  0.380066
7,  0.638645
8,  0.609045
9,  0.834563
10,  0.647156
11,  0.792048
12,  0.887258
13,  0.710343
14,  0.868577
15,  0.368159
16,  0.569506
17,  0.798518
18,  0.899752
19,  0.722106
20,  0.915765
21,  0.781994
22,  0.908652
23,  0.89737
24,  0.800992
25,  0.53553
26,  0.83849
27,  0.789884
28,  0.840905
29,  0.77894
30,  0.635977
31,  0.731514
32,  0.910284
33,  0.839283
34,  0.872364
35,  0.510706
36,  0.805939
37,  0.816087
38,  0.866216
39,  0.780178
40,  0.500425
41,  0.745708
42,  0.821101
43,  0.809436
44,  0.886343
45,  0.48966
46,  0.876936
47,  0.818141
48,  0.871711
49,  0.797734
50,  0.504105
51,  0.752249
52,  0.85243
53,  0.80981
54,  0.929243
55,  0.516041
56,  0.936631
57,  0.818928
58,  0.877887
59,  0.807012
60,  0.452186
61,  0.758951
62,  0.864455
63,  0.802498
64,  0.973929
65,  0.539152
66,  0.982468
67,  0.817393
68,  0.868124
69,  0.810796
70,  0.404562
71,  0.762887
72,  0.864997
73,  0.796626
74,  0.979631
75,  0.565502
76,  0.97295
77,  0.810387
78,  0.85645
79,  0.812042
80,  0.37372
81,  0.76065
82,  0.853032
83,  0.788254
84,  0.952428
85,  0.611628
86,  0.939164
87,  0.80294
88,  0.842899
89,  0.808744
90,  0.323825
91,  0.756908
92,  0.840332
93,  0.779632
94,  0.926023
95,  0.684628
96,  0.911517
